title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,room,day,start_time,end_time
Functional English,SS1012,BSE-1A,Ms. Namra Fazal,2.0,BS,SE,HSS,Core,False,CE-1,Tuesday,10:00,11:50
Technical and Business Writing,SS2007,BCS-5K,Mr. Razm-ul-Zafar,3.0,BS,CS,HSS,Core,False,CE-1,Tuesday,13:00,14:20
Functional English,SS1012,BDS-1B,Ms. Falaknaz Zia,2.0,BS,DS,HSS,Core,False,CE-1,Tuesday,14:30,16:20
International Relations,SS2039,BCS-3B,Dr.Tahir Rashid,3.0,BS,CS,HSS,Elective,False,CE-2,Tuesday,08:30,09:50
Mass Communication,SS2040,BSE-3A,Dr. Sapna,3.0,BS,SE,HSS,Elective,False,CE-2,Tuesday,10:00,11:20
Theory of Automata,CS3005,BCS-5J,Dr. Tahir Ejaz,3.0,BS,CS,CS,Core,False,CE-2,Tuesday,11:30,12:50
Parallel and Distributed Computing,CS3006,BCS-7A,Mr. Danyal Farhat,3.0,BS,CS,CS,Core,True,CE-2,Tuesday,13:00,14:20
Probability and Statistics,MT2005,BDS-3B,Ms. Kanwal Saleem,3.0,BS,DS,HSS,Core,False,CE-2,Tuesday,14:30,15:50
Technical and Business Writing,SS2007,BSE-5B,,3.0,BS,SE,HSS,Core,False,CE-2,Tuesday,16:00,17:20
Theory of Automata,CS3005,BCS-5K,Dr. Tahir Ejaz,3.0,BS,CS,CS,Core,False,CE-2,Tuesday,17:30,18:50
Calculus and Analytical Geometry,MT1003,BCS-1F,VF,3.0,BS,CS,HSS,Core,False,CE-3,Tuesday,08:30,09:50
Programming Fundamentals,CS1002,BCS-1B,Ms. Arooj Khalil,3.0,BS,CS,CS,Core,False,CE-3,Tuesday,10:00,11:20
Discrete Structures,CS1005,BDS-3B,,3.0,BS,DS,CS,Core,False,CE-3,Tuesday,11:30,12:50
Technical and Business Writing,SS2007,BCS-5B,Ms.Hajra Ikram,3.0,BS,CS,HSS,Core,False,CE-3,Tuesday,14:30,15:50
Internet of Things,IO4041,BCS-9A,Mr. Ahmad Raza,3.0,BS,CS,CS,Elective,True,CE-3,Tuesday,16:00,17:20
Mass Communication,SS2040,BCS-3A,Ms. Fatima Zahra,3.0,BS,CS,HSS,Elective,False,CS-1,Tuesday,08:30,09:50
Mass Communication,SS2040,BCS-3B,Ms. Fatima Zahra,3.0,BS,CS,HSS,Elective,False,CS-1,Tuesday,10:00,11:20
Linear Algebra,MT1004,BCS-3F,Dr. Mazhar Hussain,3.0,BS,CS,HSS,Core,False,CS-1,Tuesday,11:30,12:50
Information Security,CS3002,BSE-7A,Dr. Rana Asif Rehman,3.0,BS,SE,CS,Core,False,CS-1,Tuesday,13:00,14:20
Calculus and Analytical Geometry,MT1003,BDS-1A,VF,3.0,BS,DS,HSS,Core,False,CS-1,Tuesday,14:30,15:50
Introduction to Public Policy,SS4003,BCS-3A,,3.0,BS,CS,HSS,Elective,False,CS-1,Tuesday,16:00,17:20
Technical and Business Writing,SS2007,BCS-5H,Ms.Irum Zahoor,3.0,BS,CS,HSS,Core,False,CS-8,Tuesday,08:30,09:50
Computer Networks,CS3001,BCS-5J,Mr. Nauman Moazzam,3.0,BS,CS,CS,Core,False,CS-8,Tuesday,10:00,11:20
Software Design and Analysis,CS3004,BCS-5G,Mr. Aamir Raheem,3.0,BS,CS,CS,Core,False,CS-8,Tuesday,11:30,12:50
Technical and Business Writing,SS2007,BCS-5L,Mr. Razm-ul-Zafar,3.0,BS,CS,HSS,Core,False,CS-8,Tuesday,14:30,15:50
Foreign Policy of Pakistan,SS4002,BCS-3B,Mr.Muhammad Ijaz,3.0,BS,CS,HSS,Elective,False,E&M-16,Tuesday,08:30,09:50
Design and Analysis of Algorithms,CS2009,BCS-5E,Mr. Usama Hassan,3.0,BS,CS,CS,Core,True,E&M-16,Tuesday,10:00,11:20
Communication and Presentation Skill,SS2007,BSR-5A,Ms. Rubab Arshad,2.0,BS,R,HSS,Core,False,E&M-16,Tuesday,11:30,13:20
Functional English,SS1012,BCS-1A,Ms.Nokhaiz Zahra,2.0,BS,CS,HSS,Core,False,E&M-16,Tuesday,14:30,16:20
Functional English Lab,SL1012,BDS-1A1,,1.0,BS,DS,HSS,Core,False,English Lab-1,Tuesday,08:30,09:50
Functional English Lab,SL1012,BCS-1K1,,1.0,BS,CS,HSS,Core,False,English Lab-1,Tuesday,10:00,11:20
Functional English Lab,SL1012,BCS-1B1,,1.0,BS,CS,HSS,Core,False,English Lab-1,Tuesday,11:30,12:50
Functional English Lab,SL1012,BCS-1F1,,1.0,BS,CS,HSS,Core,False,English Lab-1,Tuesday,14:30,15:50
Functional English Lab,SL1012,BDS-1A2,,1.0,BS,DS,HSS,Core,False,English Lab-2,Tuesday,08:30,09:50
Functional English Lab,SL1012,BCS-1K2,,1.0,BS,CS,HSS,Core,False,English Lab-2,Tuesday,10:00,11:20
Functional English Lab,SL1012,BCS-1B2,,1.0,BS,CS,HSS,Core,False,English Lab-2,Tuesday,11:30,12:50
Functional English Lab,SL1012,BCS-1F2,,1.0,BS,CS,HSS,Core,False,English Lab-2,Tuesday,14:30,15:50
Functional English Lab,SL1012,BDS-1B1,,1.0,BS,DS,HSS,Core,False,English Lab-3,Tuesday,10:00,11:20
